scene,floor,question,question,primary_object,choices,question_formatted,answer,label
00006-HkseAnWCgqk,0,Did I fold the blanket on the bed in the bedroom?,Did I fold the blanket on the bed in the bedroom?,bed,"['(Do not choose this option)', 'No', 'Yes', '(Do not choose this option)']",Did I fold the blanket on the bed in the bedroom? A) (Do not choose this option) B) No C) Yes D) (Do not choose this option). Answer:,B,identification
00006-HkseAnWCgqk,1,Is the living room light on?,Is the living room light on?,living room light,"['(Do not choose this option)', '(Do not choose this option)', 'No', 'Yes']",Is the living room light on? A) (Do not choose this option) B) (Do not choose this option) C) No D) Yes. Answer:,D,existence
00023-zepmXAdrpjR,1,Is the kettle on the kitchen counter?,Is the kettle on the kitchen counter?,kettle,"['(Do not choose this option)', 'Yes', 'No', '(Do not choose this option)']",Is the kettle on the kitchen counter? A) (Do not choose this option) B) Yes C) No D) (Do not choose this option). Answer:,B,existence
00023-zepmXAdrpjR,1,Where did I leave the silver trash can at,Where did I leave the silver trash can at,silver trash can,"['Next to the dining table', 'Next to the TV', 'Next to the kitchen sink', 'Next to the refrigerator']",Where did I leave the silver trash can at A) Next to the dining table B) Next to the TV C) Next to the kitchen sink D) Next to the refrigerator. Answer:,D,count
00025-ixTj1aTMup2,0,How many bedside tables are there in the bedroom with the white bedding?,How many bedside tables are there in the bedroom with the white bedding?,bedside tables,"['Three', 'One', 'None', 'Two']",How many bedside tables are there in the bedroom with the white bedding? A) Three B) One C) None D) Two. Answer:,D,state
00025-ixTj1aTMup2,0,Is the gray curtain pulled down in the bedroom with two twin beds?,Is the gray curtain pulled down in the bedroom with two twin beds?,gray curtain,"['(Do not choose this option)', 'Yes, it is down', 'No, it is up', '(Do not choose this option)']","Is the gray curtain pulled down in the bedroom with two twin beds? A) (Do not choose this option) B) Yes, it is down C) No, it is up D) (Do not choose this option). Answer:",B,count
00025-ixTj1aTMup2,1,Where did I leave the standing fan at? I moved it last week.,Where did I leave the standing fan at? I moved it last week.,standing fan,"['In the bathroom', 'In the kitchen', 'Next to the TV', 'In the living room']",Where did I leave the standing fan at? I moved it last week. A) In the bathroom B) In the kitchen C) Next to the TV D) In the living room. Answer:,D,count
00025-ixTj1aTMup2,1,Did I leave the fruit bowl next to the microwave?,Did I leave the fruit bowl next to the microwave?,fruit bowl,"['Next to the TV', 'Yes', 'In the bathroom', 'No']",Did I leave the fruit bowl next to the microwave? A) Next to the TV B) Yes C) In the bathroom D) No. Answer:,D,existence
00031-Wo6kuutE9i7,0,Did I leave the blue decorative pillow on one of the living room sofas?,Did I leave the blue decorative pillow on one of the living room sofas?,blue decorative pillow,"['On the sofa closer to the clock', 'On neither sofa', 'On the sofa closer to the painting', 'On both sofas']",Did I leave the blue decorative pillow on one of the living room sofas? A) On the sofa closer to the clock B) On neither sofa C) On the sofa closer to the painting D) On both sofas. Answer:,C,count
00033-oPj9qMxrDEa,0,Did you see the woven basket anywhere?,Did you see the woven basket anywhere?,woven basket,"['By the kitchen counter', 'Between TV and living room sofas', 'Next to the dining table', 'Next to the living room armchairs']",Did you see the woven basket anywhere? A) By the kitchen counter B) Between TV and living room sofas C) Next to the dining table D) Next to the living room armchairs. Answer:,D,state
00033-oPj9qMxrDEa,0,Where did I leave the striped towel?,Where did I leave the striped towel?,striped towel,"['On the dining table', 'On the living room floor', 'In the bathroom', 'By the kitchen sink']",Where did I leave the striped towel? A) On the dining table B) On the living room floor C) In the bathroom D) By the kitchen sink. Answer:,D,state
00035-3XYAD64HpDr,0,Is the kettle on the kitchen countertop?,Is the kettle on the kitchen countertop?,kettle,"['Yes', 'No', '(Do not choose this option)', '(Do not choose this option)']",Is the kettle on the kitchen countertop? A) Yes B) No C) (Do not choose this option) D) (Do not choose this option). Answer:,A,identification
00035-3XYAD64HpDr,0,Are there more than twenty books by the window next to the dining table?,Are there more than twenty books by the window next to the dining table?,books,"['(Do not choose this option)', '(Do not choose this option)', 'No', 'Yes']",Are there more than twenty books by the window next to the dining table? A) (Do not choose this option) B) (Do not choose this option) C) No D) Yes. Answer:,C,state
00057-1UnKg1rAb8A,0,Is the kitchen sink currently free of dishes?,Is the kitchen sink currently free of dishes?,kitchen sink,"['(Do not choose this option)', '(Do not choose this option)', ""Yes, it's empty"", 'No, there are dishes']","Is the kitchen sink currently free of dishes? A) (Do not choose this option) B) (Do not choose this option) C) Yes, it's empty D) No, there are dishes. Answer:",C,location
00057-1UnKg1rAb8A,0,Is the front door is currently open or closed?,Is the front door is currently open or closed?,front door,"[""It's open"", '(Do not choose this option)', 'It is half open', ""It's closed""]",Is the front door is currently open or closed? A) It's open B) (Do not choose this option) C) It is half open D) It's closed. Answer:,D,location
00057-1UnKg1rAb8A,0,Where did I place the decorative owl?,Where did I place the decorative owl?,decorative owl,"['In the bathroom', 'On the kitchen counter', 'On the hallway wall', 'On the living room table']",Where did I place the decorative owl? A) In the bathroom B) On the kitchen counter C) On the hallway wall D) On the living room table. Answer:,C,existence
00057-1UnKg1rAb8A,1,Is there a fan somewhere?,Is there a fan somewhere?,fan,"['Yes, it is next to the shower', 'No, there is none', 'Yes, it is next to a bed', 'Yes, it is in the kitchen']","Is there a fan somewhere? A) Yes, it is next to the shower B) No, there is none C) Yes, it is next to a bed D) Yes, it is in the kitchen. Answer:",C,existence
00057-1UnKg1rAb8A,1,I'm looking for my colorful handbag. Do you see it somewhere?,I'm looking for my colorful handbag. Do you see it somewhere?,colorful handbag,"['It is on the coffee table', 'It is on the wall', 'It is on the living room floor', 'It is next to the TV']",I'm looking for my colorful handbag. Do you see it somewhere? A) It is on the coffee table B) It is on the wall C) It is on the living room floor D) It is next to the TV. Answer:,B,location
00062-ACZZiU6BXLz,0,I'm trying to remember where I placed the wall clock. Where it is in the kitchen?,I'm trying to remember where I placed the wall clock. Where it is in the kitchen?,wall clock,"['Above the sink', 'Next to the refrigerator', 'Near the stove', 'On the wall opposite the windows']",I'm trying to remember where I placed the wall clock. Where it is in the kitchen? A) Above the sink B) Next to the refrigerator C) Near the stove D) On the wall opposite the windows. Answer:,A,location
00062-ACZZiU6BXLz,0,I'm expecting guests and need to confirm the seating. How many dining chairs are around the dining table?,I'm expecting guests and need to confirm the seating. How many dining chairs are around the dining table?,dining chairs,"['Four', 'Six', 'Eight', 'Ten']",I'm expecting guests and need to confirm the seating. How many dining chairs are around the dining table? A) Four B) Six C) Eight D) Ten. Answer:,B,existence
00062-ACZZiU6BXLz,0,Have I already put the fruit bowl on the kitchen counter?,Have I already put the fruit bowl on the kitchen counter?,fruit bowl,"['No', 'There is some fruit but in a bowl', 'Yes', 'There is a bowl but no fruit']",Have I already put the fruit bowl on the kitchen counter? A) No B) There is some fruit but in a bowl C) Yes D) There is a bowl but no fruit. Answer:,A,existence
00062-ACZZiU6BXLz,1,I need to find my painting of the ocean. Where is it?,I need to find my painting of the ocean. Where is it?,painting of the ocean,"['Master bedroom', 'Bathroom', 'Hallway', 'Guest bedroom']",I need to find my painting of the ocean. Where is it? A) Master bedroom B) Bathroom C) Hallway D) Guest bedroom. Answer:,D,count
00062-ACZZiU6BXLz,1,How many pillows did I leave on the bed with green floral bedding?,How many pillows did I leave on the bed with green floral bedding?,pillows,"['Three', 'One', 'None', 'Two']",How many pillows did I leave on the bed with green floral bedding? A) Three B) One C) None D) Two. Answer:,B,state
00081-5biL7VEkByM,0,Did the housekeeper clear the bookshelves already?,Did the housekeeper clear the bookshelves already?,bookshelves,"['Yes, they are clear', 'No, they are still full of books', 'Yes, but there are a few books left', '(Do not choose this option)']","Did the housekeeper clear the bookshelves already? A) Yes, they are clear B) No, they are still full of books C) Yes, but there are a few books left D) (Do not choose this option). Answer:",A,state
00081-5biL7VEkByM,0,Did any book fall onto the floor in the hallway where the bookselves are?,Did any book fall onto the floor in the hallway where the bookselves are?,book,"['(Do not choose this option)', '(Do not choose this option)', 'No, there is none on the floor', 'Yes, there are a few on the floor']","Did any book fall onto the floor in the hallway where the bookselves are? A) (Do not choose this option) B) (Do not choose this option) C) No, there is none on the floor D) Yes, there are a few on the floor. Answer:",C,location
00109-GTV2Y73Sn5t,0,I need to water the plants. How many potted plants are on the kitchen island?,I need to water the plants. How many potted plants are on the kitchen island?,potted plants,"['Four', 'Two', 'Three', 'One']",I need to water the plants. How many potted plants are on the kitchen island? A) Four B) Two C) Three D) One. Answer:,D,location
00109-GTV2Y73Sn5t,0,I'm expecting a package that should have been left by the door. Is there a parcel on the bench by the entrance?,I'm expecting a package that should have been left by the door. Is there a parcel on the bench by the entrance?,parcel,"['(Do not choose this option)', 'No', 'Yes', '(Do not choose this option)']",I'm expecting a package that should have been left by the door. Is there a parcel on the bench by the entrance? A) (Do not choose this option) B) No C) Yes D) (Do not choose this option). Answer:,B,location
00109-GTV2Y73Sn5t,1,I need to find my backpack for a trip. Where did I place it?,I need to find my backpack for a trip. Where did I place it?,backpack,"['In the bedroom with the futon', 'In the bedroom with the wooden bed', 'In the office with the large desk', 'Near the upstairs railing']",I need to find my backpack for a trip. Where did I place it? A) In the bedroom with the futon B) In the bedroom with the wooden bed C) In the office with the large desk D) Near the upstairs railing. Answer:,A,existence
00109-GTV2Y73Sn5t,1,Is my son sleeping on his red bed?,Is my son sleeping on his red bed?,red bed,"['(Do not choose this option)', '(Do not choose this option)', 'Yes', 'No']",Is my son sleeping on his red bed? A) (Do not choose this option) B) (Do not choose this option) C) Yes D) No. Answer:,D,existence
00135-HeSYRw7eMtG,1,What time is it now?,What time is it now?,clock,"['1-3pm', '7-9am', '10-12pm', '5-7pm']",What time is it now? A) 1-3pm B) 7-9am C) 10-12pm D) 5-7pm. Answer:,A,existence
00135-HeSYRw7eMtG,1,I forgot where I left the standing fan.,I forgot where I left the standing fan.,standing fan,"['Next to the armchair', 'Next to kitchen', 'In the bathroom', 'In the bedroom']",I forgot where I left the standing fan. A) Next to the armchair B) Next to kitchen C) In the bathroom D) In the bedroom. Answer:,A,location
00135-HeSYRw7eMtG,2,How many table lamps are there in the bedroom?,How many table lamps are there in the bedroom?,table lamps,"['Three', 'Four', 'One', 'Two']",How many table lamps are there in the bedroom? A) Three B) Four C) One D) Two. Answer:,D,state
00149-UuwwmrTsfBN,1,I am waiting for the guests. Have I put utensils on the dining table?,I am waiting for the guests. Have I put utensils on the dining table?,utensils,"['No', '(Do not choose this option)', 'Yes', '(Do not choose this option)']",I am waiting for the guests. Have I put utensils on the dining table? A) No B) (Do not choose this option) C) Yes D) (Do not choose this option). Answer:,A,existence
00149-UuwwmrTsfBN,1,Is the patio door next to the dining table open?,Is the patio door next to the dining table open?,patio door,"['(Do not choose this option)', '(Do not choose this option)', 'Yes', 'No']",Is the patio door next to the dining table open? A) (Do not choose this option) B) (Do not choose this option) C) Yes D) No. Answer:,D,location
00155-iLDo95ZbDJq,0,"Is the bedroom closet open or closed, the bedroom with horse painting?","Is the bedroom closet open or closed, the bedroom with horse painting?",bedroom closet,"['It is closed', 'It is open', '(Do not choose this option)', '(Do not choose this option)']","Is the bedroom closet open or closed, the bedroom with horse painting? A) It is closed B) It is open C) (Do not choose this option) D) (Do not choose this option). Answer:",A,count
00166-RaYrxWt5pR1,0,I'm trying to remember how many bar stools are at the kitchen island.,I'm trying to remember how many bar stools are at the kitchen island.,bar stools,"['Three', 'Five', 'Four', 'Two']",I'm trying to remember how many bar stools are at the kitchen island. A) Three B) Five C) Four D) Two. Answer:,D,state
00166-RaYrxWt5pR1,0,I'm looking for my laptop. It is on the bedroom dresser?,I'm looking for my laptop. It is on the bedroom dresser?,laptop,"['It is there', '(Do not choose this option)', '(Do not choose this option)', 'It is not there']",I'm looking for my laptop. It is on the bedroom dresser? A) It is there B) (Do not choose this option) C) (Do not choose this option) D) It is not there. Answer:,D,location
00203-VoVGtfYrpuQ,0,I'm trying to remember where I placed the decorative wooden bowl. Is it on the dining table?,I'm trying to remember where I placed the decorative wooden bowl. Is it on the dining table?,decorative wooden bowl,"['No', '(Do not choose this option)', 'Yes', '(Do not choose this option)']",I'm trying to remember where I placed the decorative wooden bowl. Is it on the dining table? A) No B) (Do not choose this option) C) Yes D) (Do not choose this option). Answer:,C,identification
00203-VoVGtfYrpuQ,0,Is the air conditioning unit in the dining area still on?,Is the air conditioning unit in the dining area still on?,air conditioning unit,"['(Do not choose this option)', ""Yes, it's on"", '(Do not choose this option)', ""No, it's not on""]","Is the air conditioning unit in the dining area still on? A) (Do not choose this option) B) Yes, it's on C) (Do not choose this option) D) No, it's not on. Answer:",D,location
00207-FRQ75PjD278,0,I need to find my large red storage bag. Where did I put it last?,I need to find my large red storage bag. Where did I put it last?,large red storage bag,"['On top of the bedroom closet', 'Next to the kitchen closet', 'In the bathroom', 'Near the living room window']",I need to find my large red storage bag. Where did I put it last? A) On top of the bedroom closet B) Next to the kitchen closet C) In the bathroom D) Near the living room window. Answer:,A,location
00217-qz3829g1Lzf,0,Did I leave any pot on the stove?,Did I leave any pot on the stove?,pot,"['Two', 'None', 'Three', 'One']",Did I leave any pot on the stove? A) Two B) None C) Three D) One. Answer:,B,count
00217-qz3829g1Lzf,0,How many wooden chairs we have at the dining table right now?,How many wooden chairs we have at the dining table right now?,wooden chairs,"['Four', 'Eight', 'Six', 'Two']",How many wooden chairs we have at the dining table right now? A) Four B) Eight C) Six D) Two. Answer:,C,location
00217-qz3829g1Lzf,1,I need to find two gray bags with beddings. Is it in the room with the wooden dresser and the quilted bedspread?,I need to find two gray bags with beddings. Is it in the room with the wooden dresser and the quilted bedspread?,two gray bags,"['No', 'Yes', '(Do not choose this option)', '(Do not choose this option)']",I need to find two gray bags with beddings. Is it in the room with the wooden dresser and the quilted bedspread? A) No B) Yes C) (Do not choose this option) D) (Do not choose this option). Answer:,A,existence
00245-741Fdj7NLF9,0,I was playing darts last night and can't recall where I left the board.,I was playing darts last night and can't recall where I left the board.,darts board,"['It is in the bedroom', 'It is in the dining room', 'It is in the living room', 'It is at the porch']",I was playing darts last night and can't recall where I left the board. A) It is in the bedroom B) It is in the dining room C) It is in the living room D) It is at the porch. Answer:,D,existence
00245-741Fdj7NLF9,0,Can you check if I left the lamps on in the bedroom with gray bedding?,Can you check if I left the lamps on in the bedroom with gray bedding?,bedroom lamps,"['(Do not choose this option)', 'Yes', '(Do not choose this option)', 'No']",Can you check if I left the lamps on in the bedroom with gray bedding? A) (Do not choose this option) B) Yes C) (Do not choose this option) D) No. Answer:,D,count
00256-92vYG1q49FY,0,Is the air conditioning at the entrance turned off?,Is the air conditioning at the entrance turned off?,air conditioning,"['It is off', '(Do not choose this option)', 'It is on', '(Do not choose this option)']",Is the air conditioning at the entrance turned off? A) It is off B) (Do not choose this option) C) It is on D) (Do not choose this option). Answer:,A,identification
00258-2Pc8W48bu21,0,I want to take a shower. Is there shampoo in the shower?,I want to take a shower. Is there shampoo in the shower?,shampoo,"['(Do not choose this option)', 'Yes', 'No', '(Do not choose this option)']",I want to take a shower. Is there shampoo in the shower? A) (Do not choose this option) B) Yes C) No D) (Do not choose this option). Answer:,C,state
00258-2Pc8W48bu21,1,I need to retrieve my pool cues. How many are on the pool table?,I need to retrieve my pool cues. How many are on the pool table?,pool cues,"['Four', 'Three', 'Two', 'One']",I need to retrieve my pool cues. How many are on the pool table? A) Four B) Three C) Two D) One. Answer:,B,existence
