scene,floor,source_question,primary_object,distance_m,predicate,msp_question
00006-HkseAnWCgqk,0,Did I fold the blanket on the bed in the bedroom?,bed,2.2,in front of,Where is 2.2 meters in front of the bed?
00006-HkseAnWCgqk,0,Did I fold the blanket on the bed in the bedroom?,bed,1.0,above,Where is 1.0 meters above the bed?
00006-HkseAnWCgqk,0,Did I fold the blanket on the bed in the bedroom?,bed,2.6,left of,Where is 2.6 meters left of the bed?
00006-HkseAnWCgqk,0,Did I fold the blanket on the bed in the bedroom?,bed,0.4,above,Where is 0.4 meters above the bed?
00006-HkseAnWCgqk,0,Did I fold the blanket on the bed in the bedroom?,bed,0.6,right of,Where is 0.6 meters right of the bed?
00006-HkseAnWCgqk,0,Did I fold the blanket on the bed in the bedroom?,bed,2.8,left of,Where is 2.8 meters left of the bed?
00006-HkseAnWCgqk,0,Did I fold the blanket on the bed in the bedroom?,bed,1.8,left of,Where is 1.8 meters left of the bed?
00006-HkseAnWCgqk,0,Did I fold the blanket on the bed in the bedroom?,bed,3.4,behind,Where is 3.4 meters behind the bed?
00006-HkseAnWCgqk,1,Is the living room light on?,living room light,2.8,left of,Where is 2.8 meters left of the living room light?
00006-HkseAnWCgqk,1,Is the living room light on?,living room light,0.6,right of,Where is 0.6 meters right of the living room light?
00006-HkseAnWCgqk,1,Is the living room light on?,living room light,1.6,below,Where is 1.6 meters below the living room light?
00006-HkseAnWCgqk,1,Is the living room light on?,living room light,3.8,below,Where is 3.8 meters below the living room light?
00006-HkseAnWCgqk,1,Is the living room light on?,living room light,4.0,above,Where is 4.0 meters above the living room light?
00006-HkseAnWCgqk,1,Is the living room light on?,living room light,0.2,left of,Where is 0.2 meters left of the living room light?
00006-HkseAnWCgqk,1,Is the living room light on?,living room light,3.2,above,Where is 3.2 meters above the living room light?
00006-HkseAnWCgqk,1,Is the living room light on?,living room light,2.0,above,Where is 2.0 meters above the living room light?
00023-zepmXAdrpjR,1,Is the kettle on the kitchen counter?,kettle,2.6,above,Where is 2.6 meters above the kettle?
00023-zepmXAdrpjR,1,Is the kettle on the kitchen counter?,kettle,0.4,left of,Where is 0.4 meters left of the kettle?
00023-zepmXAdrpjR,1,Is the kettle on the kitchen counter?,kettle,1.6,above,Where is 1.6 meters above the kettle?
00023-zepmXAdrpjR,1,Is the kettle on the kitchen counter?,kettle,3.8,in front of,Where is 3.8 meters in front of the kettle?
00023-zepmXAdrpjR,1,Is the kettle on the kitchen counter?,kettle,1.0,above,Where is 1.0 meters above the kettle?
00023-zepmXAdrpjR,1,Is the kettle on the kitchen counter?,kettle,3.2,below,Where is 3.2 meters below the kettle?
00023-zepmXAdrpjR,1,Is the kettle on the kitchen counter?,kettle,1.4,right of,Where is 1.4 meters right of the kettle?
00023-zepmXAdrpjR,1,Is the kettle on the kitchen counter?,kettle,0.6,left of,Where is 0.6 meters left of the kettle?
00023-zepmXAdrpjR,1,Where did I leave the silver trash can at,silver trash can,3.8,above,Where is 3.8 meters above the silver trash can?
00023-zepmXAdrpjR,1,Where did I leave the silver trash can at,silver trash can,4.0,left of,Where is 4.0 meters left of the silver trash can?
