scene,floor,source_question,primary_object,distance_m,predicate,msp_question,ann_ok,ann_ts,ann_pos_x,ann_pos_y,ann_pos_z,ann_yaw_rad,ann_m,ann_n,ann_scale_x,ann_scale_y,ann_scale_z,ann_aabb_min_x,ann_aabb_min_y,ann_aabb_min_z,ann_aabb_max_x,ann_aabb_max_y,ann_aabb_max_z,ann_volume
00410-v7DzfFFEpsD,0,Which side of the front door is the plant now?,plant,2.0,right of,Where is 2.0 meters right of the plant?,1,1770081255.263822,0.584619,-2.116675,-1.255733,-0.253024,2.000000,2.000000,0.150000,0.150000,0.150000,0.434899,-2.266594,-1.405718,0.734077,-1.966830,-1.105768,0.01418652
00262-1xGrZPxG1Hz,1,Are the candles by the entrace put out?,candles,1.8,below,Where is 1.8 meters below the candles?,1,1769495737.579699,-9.180333,2.548743,0.256528,2.810025,10.200000,2.400000,0.130000,0.130000,0.130000,-9.336498,2.413228,0.098957,-9.023980,2.684092,0.414063,0.01432385
00149-UuwwmrTsfBN,1,I am waiting for the guests. Have I put utensils on the dining table?,utensils,1.0,right of,Where is 1.0 meters right of the utensils?,1,1769496159.587543,5.383806,1.484879,-0.529837,-1.675463,10.200000,8.300000,0.450000,0.450000,0.450000,4.903290,1.025724,-1.018553,5.864338,1.943713,-0.041058,0.69676842
00256-92vYG1q49FY,0,Is the air conditioning at the entrance turned off?,air conditioning,2.6,in front of,Where is 2.6 meters in front of the air conditioning?,1,1769496311.860495,-0.782082,-0.265694,-0.175682,1.963545,2.000000,2.000000,0.150000,0.150000,0.150000,-0.932023,-0.415402,-0.325631,-0.632100,-0.115712,-0.025811,0.01418652
00525-iKFn6fzyRqs,1,I want to take a shower. Are there some towels by the bathrub?,towels,2.2,below,Where is 2.2 meters below the towels?,1,1769496478.461188,4.650120,0.058479,-1.914409,0.148406,2.000000,2.000000,0.160000,0.160000,0.160000,4.490248,-0.101319,-2.074381,4.809696,0.218443,-1.754539,0.01721718
00410-v7DzfFFEpsD,1,I need to find my Louis Vuitton box.,Louis Vuitton box,3.0,above,Where is 3.0 meters above the Louis Vuitton box?,1,1769496926.582617,5.762955,2.328950,-6.656312,-0.357738,2.000000,2.000000,0.160000,0.160000,0.160000,5.603107,2.169037,-6.816096,5.922533,2.488652,-6.496503,0.01721718
00592-CthA7sQNTPK,2,Which hand towel is at the right side of the bathroom counter?,hand towel,2.8,behind,Where is 2.8 meters behind the hand towel?,1,1769497163.262185,1.967006,4.041617,3.765285,-0.427557,2.000000,2.000000,0.160000,0.160000,0.160000,1.807018,3.881891,3.605642,2.126744,4.201520,3.924973,0.01721718
00386-b3WpMbPFB6q,0,Is my jacket left on the staircase?,jacket,0.8,above,Where is 0.8 meters above the jacket?,1,1769497742.499122,-11.173107,1.921680,4.193016,1.256684,2.000000,2.000000,0.160000,0.160000,0.160000,-11.332792,1.761887,4.033155,-11.013446,2.081554,4.352963,0.01721718
00366-fxbzYAGkrtm,0,I am looking for my boots. Are they on the stairs by the entrance door?,boots,1.6,right of,Where is 1.6 meters right of the boots?,1,1769498108.503849,-0.482108,-2.932436,8.795238,2.103172,2.000000,2.000000,0.400000,0.400000,0.400000,-0.881746,-3.331556,8.395267,-0.082285,-2.532974,9.194731,0.26901847
00388-pcpn6mFqFCg,0,Is the kettle on the coffee table?,kettle,0.8,right of,Where is 0.8 meters right of the kettle?,,,,,,,,,,,,,,,,,,
